,percent_missing
id,0.0
source,0.0
name,0.21358688163152817
url,0.0
adopted,0.0
species,0.0
sex,0.0
age_text,0.24803637866887143
age,0.1722474851867163
category,0.0
breed,0.0
matched_breed,72.37150337605071
colors,29.63345735152267
accepts_dogs,4.209728537963345
accepts_cats,6.194019567314317
accepts_children,5.022736668044646
establishment,0.0
establishment_url,0.0
